id,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,like,d_like,met,decision,decision_o,match,field_encoded
1,0,1,female,21,27,6,medium age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,35,20,20,20,0,5,very important,important,important,important,not important,not important,6,8,8,8,8,6,average,average,average,average,average,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,6,9,7,7,6,5,average,high,average,average,average,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0-0.33],7,average,0,1,0,0,48
2,0,1,female,21,22,1,no age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,60,0,0,40,0,0,very important,not important,not important,very important,not important,not important,7,8,10,7,7,5,average,average,high,average,average,low,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,7,8,7,8,5,6,average,average,average,average,low,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,1,[0.33-1],7,average,1,1,0,0,48
3,1,1,female,21,22,1,no age difference,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,2,4,important,important,LAW,19,18,19,18,14,12,important,important,important,important,not important,not important,10,10,10,10,10,10,high,high,high,high,high,high,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,5,8,9,8,5,7,low,average,high,average,low,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0-0.33],7,average,1,1,1,1,48
4,0,1,female,21,23,2,small age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,30,5,15,40,5,5,very important,not important,not important,very important,not important,not important,7,8,9,8,9,8,average,average,high,average,high,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,7,6,8,7,6,8,average,average,average,average,average,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,1,[0.33-1],7,average,0,1,1,1,48
5,0,1,female,21,24,3,small age difference,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,2,4,important,important,LAW,30,10,20,10,10,20,very important,not important,important,not important,not important,important,8,7,9,6,9,7,average,average,high,average,high,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,5,6,7,7,6,6,low,average,average,average,average,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0-0.33],6,average,0,1,1,1,48
6,0,1,female,21,25,4,medium age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,50,0,30,10,0,10,very important,not important,very important,not important,not important,not important,7,7,8,8,7,7,average,average,average,average,average,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,4,9,7,4,6,4,low,high,average,low,average,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0-0.33],6,average,0,0,1,0,48
7,0,1,female,21,30,9,large age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,35,15,25,10,5,10,very important,not important,very important,not important,not important,not important,3,6,7,5,8,7,low,average,average,low,average,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,7,6,7,4,6,7,average,average,average,low,average,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0.33-1],6,average,0,1,0,0,48
8,1,1,female,21,27,6,medium age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,33,11,11,11,11,22,very important,not important,not important,not important,not important,very important,6,7,5,6,8,6,average,average,low,average,average,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,4,9,7,6,5,6,low,high,average,average,low,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0.33-1],6,average,0,0,0,0,48
9,0,1,female,21,28,7,large age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,50,0,25,10,0,15,very important,not important,very important,not important,not important,not important,7,7,8,8,8,9,average,average,average,average,average,high,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,7,6,8,9,8,8,average,average,average,high,average,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[0-0.33],7,average,0,1,1,1,48
10,0,1,female,21,24,3,small age difference,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,important,important,LAW,100,0,0,0,0,0,very important,not important,not important,not important,not important,not important,6,6,6,6,6,6,average,average,average,average,average,average,15,20,20,15,15,15,not important,important,important,not important,not important,not important,6,8,8,8,7,average,average,average,average,average,5,6,6,8,10,8,low,average,average,average,high,average,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,high,low,average,high,low,low,low,low,low,average,high,low,high,high,high,average,low,0,[-1-0],6,average,0,1,0,0,48
