,id,has_null,wave,age,age_o,d_age,race_o,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,like,met,decision,decision_o,match,gender_female,gender_male,race_Asian/Pacific Islander/Asian-American,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,field_ACTING,field_AMERICAN STUDIES,field_ANTHROPOLOGY,field_APPLIED PHYSIOLOGY & NUTRITION,field_ARCHITECTURE,field_ART,field_BIOLOGY,field_BUSINESS/ECONOMICS/FINANCE,field_CHEMISTRY,field_CLASSICS,field_COMMUNICATIONS,field_COMPARATIVE LITERATURE,field_COMPUTER SCIENCE,field_CONSULTING,field_CURRICULUM AND TEACHING/GIFTEDNESS,field_EART,field_ECOLOGY,field_EDUCATION,field_ELECTRICAL ENGG.,field_ELECTRICAL ENGINEERING,field_ENGINEERING,field_ENVIRONMENTAL SCIENCE,field_EPIDEMIOLOGY,field_FILM,field_FINANACE,field_FINANCIAL ENGINEERING,field_FUNDRAISING MANAGEMENT,field_GENETICS,field_GENETICS & DEVELOPMENT,field_GS POSTBACC PREMED,field_GSAS,field_HISTORY,field_HUMAN RIGHTS,field_HUMAN RIGHTS: MIDDLE EAST,field_INDUSTRIAL ENGINEERING,field_INSTRUCTIONAL MEDIA AND TECHNOLOGY,field_INSTRUCTIONAL TECH & MEDIA,field_INTELLECTUAL PROPERTY LAW,field_INTERNATIONAL AFFAIRS,field_INTERNATIONAL DEVELOPMENT,field_INTERNATIONAL POLITICS,field_INTERNATIONAL RELATIONS,field_INTERNATIONAL SECURITY POLICY - INTERNATIONAL AFFAIRS,field_INTRERNATIONAL AFFAIRS,field_JOURNALISM,field_LANGUAGES,field_LAW,field_MA IN QUANTITATIVE METHODS,field_MARINE GEOPHYSICS,field_MARKETING,field_MASTER IN PUBLIC ADMINISTRATION,field_MASTERS IN PUBLIC ADMINISTRATION,field_MATHEMATICS,field_MECHANICAL ENGINEERING,field_MEDICAL INFORMATICS,field_MEDICINE,field_MFA  POETRY,field_MFA -FILM,field_MFA ACTING PROGRAM,field_MONEY,field_NEUROSCIENCE,field_NUTRITION,field_NUTRITION/GENETICS,field_NUTRITIRON,field_OPERATIONS RESEARCH,field_PHILOSOPHY,field_PHYSICS,field_POLITICAL SCIENCE,field_PSYCHOLOGY,field_PUBLIC ADMINISTRATION,field_PUBLIC HEALTH,field_PUBLIC POLICY,field_QMSS,field_RELIGION,field_SOCIOLOGY/SOCIAL STUDIES,field_SPEECH PATHOLOGY,field_TC [HEALTH ED],field_TESOL,field_THEATER,field_UNDERGRAD - GS,field_URBAN PLANNING,field_WORKING,field_WRITING
0,1,0,1,21,27,6,European/Caucasian-American,0,2,4,35,20,20,20,0,6,8,8,8,8,15,20,20,15,15,6,8,8,8,7,6,9,7,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,21,22,1,European/Caucasian-American,0,2,4,60,0,0,40,0,7,8,10,7,7,15,20,20,15,15,6,8,8,8,7,7,8,7,8,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,1,21,22,1,Asian/Pacific Islander/Asian-American,1,2,4,19,18,19,18,14,10,10,10,10,10,15,20,20,15,15,6,8,8,8,7,5,8,9,8,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,1,21,23,2,European/Caucasian-American,0,2,4,30,5,15,40,5,7,8,9,8,9,15,20,20,15,15,6,8,8,8,7,7,6,8,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1,7,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,1,21,24,3,Latino/Hispanic American,0,2,4,30,10,20,10,10,8,7,9,6,9,15,20,20,15,15,6,8,8,8,7,5,6,7,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,6,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,1,21,25,4,European/Caucasian-American,0,2,4,50,0,30,10,0,7,7,8,8,7,15,20,20,15,15,6,8,8,8,7,4,9,7,4,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,1,21,30,9,European/Caucasian-American,0,2,4,35,15,25,10,5,3,6,7,5,8,15,20,20,15,15,6,8,8,8,7,7,6,7,4,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,1,1,21,27,6,European/Caucasian-American,0,2,4,33,11,11,11,11,6,7,5,6,8,15,20,20,15,15,6,8,8,8,7,4,9,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,0,1,21,28,7,European/Caucasian-American,0,2,4,50,0,25,10,0,7,7,8,8,8,15,20,20,15,15,6,8,8,8,7,7,6,8,9,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,7,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,0,1,21,24,3,European/Caucasian-American,0,2,4,100,0,0,0,0,6,6,6,6,6,15,20,20,15,15,6,8,8,8,7,5,6,6,8,10,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,0,1,24,27,3,European/Caucasian-American,1,2,5,35,20,20,20,0,8,7,6,9,7,45,5,25,20,0,7,5,10,8,3,5,7,8,4,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,0,1,24,22,2,European/Caucasian-American,1,2,5,60,0,0,40,0,7,6,10,6,6,45,5,25,20,0,7,5,10,8,3,8,5,6,6,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,0,1,24,22,2,Asian/Pacific Islander/Asian-American,0,2,5,19,18,19,18,14,10,10,10,10,10,45,5,25,20,0,7,5,10,8,3,5,8,9,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,0,1,24,23,1,European/Caucasian-American,1,2,5,30,5,15,40,5,9,9,9,9,9,45,5,25,20,0,7,5,10,8,3,7,9,7,6,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,7,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,0,1,24,24,0,Latino/Hispanic American,0,2,5,30,10,20,10,10,10,10,10,10,7,45,5,25,20,0,7,5,10,8,3,6,8,7,9,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,8,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,0,1,24,25,1,European/Caucasian-American,1,2,5,50,0,30,10,0,7,8,7,5,7,45,5,25,20,0,7,5,10,8,3,8,7,8,3,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,0,1,24,30,6,European/Caucasian-American,1,2,5,35,15,25,10,5,5,3,4,3,5,45,5,25,20,0,7,5,10,8,3,7,5,9,6,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
