volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.7,0.6418538861723947,-2.577021938695806,3.5263605246161616,0.9978,3.51,0.56,2.2407096892759584,0
0.88,0.9555114450274363,-2.322787800311565,4.204692619390966,0.9968,3.2,0.68,2.2823823856765264,0
0.76,0.8329091229351039,-2.385966701933097,3.9889840465642745,0.997,3.26,0.65,2.2823823856765264,0
0.28,0.6418538861723947,-2.5902671654458267,4.0943445622221,0.998,3.16,0.58,2.2823823856765264,1
0.7,0.6418538861723947,-2.577021938695806,3.5263605246161616,0.9978,3.51,0.56,2.2407096892759584,0
0.66,0.5877866649021191,-2.5902671654458267,3.6888794541139363,0.9978,3.51,0.56,2.2407096892759584,0
0.6,0.47000362924573563,-2.6736487743848776,4.07753744390572,0.9964,3.3,0.46,2.2407096892759584,0
0.65,0.1823215567939546,-2.7333680090865,3.044522437723423,0.9946,3.39,0.47,2.302585092994046,1
0.58,0.6931471805599453,-2.617295837833746,2.8903717578961645,0.9968,3.36,0.57,2.2512917986064953,1
0.5,1.8082887711792655,-2.645075401940822,4.624972813284271,0.9978,3.35,0.8,2.3513752571634776,0
0.58,0.5877866649021191,-2.333044300478754,4.174387269895637,0.9959,3.28,0.54,2.2192034840549946,0
0.5,1.8082887711792655,-2.645075401940822,4.624972813284271,0.9978,3.35,0.8,2.3513752571634776,0
0.615,0.47000362924573563,-2.419118909249997,4.07753744390572,0.9943,3.58,0.52,2.2925347571405443,0
0.62,1.33500106673234,-1.7372712839439852,4.976733742420574,0.9986,3.16,0.88,2.2192034840549946,0
0.28,0.5877866649021191,-2.385966701933097,4.634728988229636,0.9969,3.3,0.75,2.3513752571634776,1
0.59,1.4816045409242156,-2.4534079827286295,3.367295829986474,0.9974,3.38,0.5,2.1972245773362196,0
0.22,0.5877866649021191,-2.563949857128453,4.0943445622221,0.9968,3.39,0.53,2.2407096892759584,1
0.39,0.8329091229351039,-2.5010360317178852,4.2626798770413155,0.9982,3.52,0.65,2.272125885509337,0
0.43,0.47000362924573563,-2.24431618487007,3.6109179126442243,0.9966,3.17,0.91,2.2512917986064953,0
0.49,0.8329091229351039,-2.4769384801388235,4.204692619390966,0.9968,3.17,0.53,2.2407096892759584,0
0.4,0.8754687373538999,-2.4651040224918206,3.6888794541139363,0.9968,3.43,0.63,2.272125885509337,1
0.39,0.3364722366212129,-2.5257286443082556,3.1354942159291497,0.9955,3.34,0.56,2.2300144001592104,0
0.41,0.5877866649021191,-2.5257286443082556,2.3978952727983707,0.9962,3.28,0.59,2.2512917986064953,0
0.43,0.47000362924573563,-2.24431618487007,3.6109179126442243,0.9966,3.17,0.91,2.2512917986064953,0
0.71,0.6418538861723947,-2.5257286443082556,3.5553480614894135,0.9972,3.47,0.55,2.2407096892759584,0
0.645,0.6931471805599453,-2.5010360317178852,2.772588722239781,0.9964,3.38,0.59,2.2823823856765264,1
0.675,0.8754687373538999,-2.419118909249997,4.406719247264253,0.9958,3.35,0.54,2.312535423847214,0
0.685,0.9162907318741551,-2.2537949288246137,3.6109179126442243,0.9966,3.46,0.57,2.3608540011180215,1
0.655,0.8329091229351039,-2.488914671185539,4.727387818712341,0.9966,3.17,0.66,2.2823823856765264,0
0.32,0.5877866649021191,-2.2730262907525014,3.912023005428146,0.9957,3.38,0.55,2.2192034840549946,0
0.645,1.7047480922384253,-2.4534079827286295,2.8903717578961645,0.9986,3.4,0.55,2.2617630984737906,1
0.6,0.8754687373538999,-2.4534079827286295,2.70805020110221,0.9975,3.42,0.6,2.379546134130174,1
0.38,0.7419373447293773,-2.7181005369557116,3.4011973816621555,0.9968,3.23,0.73,2.272125885509337,1
0.45,1.7749523509116738,-2.6036901857779675,4.465908118654584,0.9978,3.33,0.83,2.3513752571634776,0
0.45,1.7749523509116738,-2.6036901857779675,4.465908118654584,0.9978,3.33,0.83,2.3513752571634776,0
0.61,1.0296194171811581,-2.430418464503931,3.828641396489095,0.9976,3.26,0.51,2.2300144001592104,0
0.67,0.5877866649021191,-2.995732273553991,2.3978952727983707,0.9962,3.48,0.52,2.2512917986064953,0
0.935,0.7884573603642703,-2.1715568305876416,4.736198448394496,0.997,3.25,0.73,2.2192034840549946,0
0.29,0.47000362924573563,-2.1803674602697964,3.6109179126442243,0.9969,3.25,0.58,2.2512917986064953,0
0.4,0.47000362924573563,-2.7181005369557116,2.4849066497880004,0.9958,3.34,0.56,2.2192034840549946,0
0.31,0.3364722366212129,-2.6036901857779675,4.564348191467836,0.9954,3.32,0.58,2.2192034840549946,0
0.66,0.5306282510621704,-2.6036901857779675,3.1354942159291497,0.9971,3.15,0.74,2.2192034840549946,0
0.52,0.7884573603642703,-2.6736487743848776,2.70805020110221,0.9956,3.4,0.63,2.2407096892759584,1
0.5,0.7419373447293773,-2.6882475738060303,2.6390573296152584,0.9955,3.39,0.64,2.2407096892759584,1
